objectid,accessionnumber,parentid,creator,type,display_template,provenance_photographer,workid,object_location,title,artist,size,subject,provenance_work,textref,relation
a109644,a109644,b13e9d65-0762-49e2-a065-30b1bc45c41d,unknown,black-and-white prints (photographs),image,"Farp of Rosebery 
(Bucks) Mentmore",,,Photograph of b13e9d65-0762-49e2-a065-30b1bc45c41d,,,,,,
a104659,a104659,9bf6a72d-f0ab-4c9c-908f-a838918b4431,unknown,black-and-white prints (photographs),image,"Parte a Moriaro Edith
Von Zur Muchlen
Luccia - Ponte A Moriano
(Lucca)",,,Photograph of 9bf6a72d-f0ab-4c9c-908f-a838918b4431,,,,,,
a109689,a109689,6bdaa56d-7a0f-426e-a1cb-167c3a322ab1,unknown,black-and-white prints (photographs),image,"Private Call.",,,Photograph of 6bdaa56d-7a0f-426e-a1cb-167c3a322ab1,,,,,,
a109707,a109707,72b08d1f-5be1-4f47-9919-dbd9439e2a3c,"Cooper, A. C.",black-and-white prints (photographs),image,"Sir Stephen Courtauld
Umtali (S.Rhoclasia)",,,Photograph of 72b08d1f-5be1-4f47-9919-dbd9439e2a3c,,,,,,
a109832,a109832,c41a7752-3d51-49fb-90db-89be20334d7d,unknown,black-and-white prints (photographs),image,"Crespi Call.
Milan",,,Photograph of c41a7752-3d51-49fb-90db-89be20334d7d,,,,,,
a109881,a109881,ad9d472a-2dfb-468c-b601-e8a73f16f7b8,Fototeca Berenson,black-and-white prints (photographs),image,"Count Antoine Seilern, LONDON",,,Photograph of ad9d472a-2dfb-468c-b601-e8a73f16f7b8,,,,,,
a109897,a109897,7ed2d234-b3fe-4342-bef5-fbc2a6ae94ba,Fototeca Berenson,black-and-white prints (photographs),image,"Sotheby & Co.",,,Photograph of 7ed2d234-b3fe-4342-bef5-fbc2a6ae94ba,,,,,,
a1110164,a1110164,36aed12c-4d16-4ec6-a6b5-ddef58290da3,Fototeca Berenson,black-and-white prints (photographs),image,"Archibald Werner Coll., EDENBRIDGE (Kent)",,,Photograph of 36aed12c-4d16-4ec6-a6b5-ddef58290da3,,,,,,
a1110165,a1110165,f145178d-97ce-40db-8016-b6a7eaa0bd6b,Fototeca Berenson,black-and-white prints (photographs),image,"Archibald Werner, EDENBRIDGE (Kent)",,,Photograph of f145178d-97ce-40db-8016-b6a7eaa0bd6b,,,,,,
a1110168,a1110168,c431edd7-9e08-4d3d-b3de-9719ea231c59,Fototeca Berenson,black-and-white prints (photographs),image,,,,Photograph of c431edd7-9e08-4d3d-b3de-9719ea231c59,,,,,,
a109848,a109848,66868d03-8435-42bd-b656-606b4e5ea20d,Fototeca Berenson,black-and-white prints (photographs),image,"J. Paul Getty Museum
Malibu",,,Photograph of 66868d03-8435-42bd-b656-606b4e5ea20d,,,,,,
a109842,a109842,13bbb793-531f-40a7-8957-ffb8d6ad25ec,"Cooper, A. C.",black-and-white prints (photographs),image,"Earl of Rodan
Longford Castle",,,Photograph of 13bbb793-531f-40a7-8957-ffb8d6ad25ec,,,,,,
a109880,a109880,771a2c57-6b80-434c-9291-85efa0693634,"Cooper, A. C.",black-and-white prints (photographs),image,"Spencer-Churchill
Northwick Park",,,Photograph of 771a2c57-6b80-434c-9291-85efa0693634,,,,,,
a110186,a110186,6e3a226b-5b2c-4ded-8857-4eddf74467cb,Fototeca Berenson,black-and-white prints (photographs),image,,,,Photograph of 6e3a226b-5b2c-4ded-8857-4eddf74467cb,,,,,,
a110226,a110226,c65888f3-5754-4500-aefe-4c394f63af46,Fototeca Berenson,black-and-white prints (photographs),image,"Oliver Vernon (O.V.) Watney
Cornbury Park (Chorbury, Oxon)",,,Photograph of c65888f3-5754-4500-aefe-4c394f63af46,,,,,,
b13e9d65-0762-49e2-a065-30b1bc45c41d,,,,,"compound_object",,b13e9d65-0762-49e2-a065-30b1bc45c41d,/objects/109644_1_45942227.jpg,Portrait of a Venetian General,"Veronese, Paolo",199.5 x 119 cm (78 ½” x 46 ⅞”),portrait format,"Farp of Rosebery 
(Bucks) Mentmore","Paolo Veronese, p. 146","9bf6a72d-f0ab-4c9c-908f-a838918b4431; 
6bdaa56d-7a0f-426e-a1cb-167c3a322ab1; 
72b08d1f-5be1-4f47-9919-dbd9439e2a3c;"
9bf6a72d-f0ab-4c9c-908f-a838918b4431,,,,,"compound_object",,9bf6a72d-f0ab-4c9c-908f-a838918b4431,/objects/109659_1_45942255.jpg,Poet between Vice & Virtue,"Veronese, Paolo","152.4 X 114.3 cm (60"" X 45"")",picture poetry,"Parte a Moriaro Edith
Von Zur Muchlen
Luccia - Ponte A Moriano
(Lucca)","Paolo Veronese, p. 146","b13e9d65-0762-49e2-a065-30b1bc45c41d; 
6bdaa56d-7a0f-426e-a1cb-167c3a322ab1; 
72b08d1f-5be1-4f47-9919-dbd9439e2a3c;"
6bdaa56d-7a0f-426e-a1cb-167c3a322ab1,,,,,"compound_object",,6bdaa56d-7a0f-426e-a1cb-167c3a322ab1,/objects/109689_1_45942299.jpg,Venus & Adonis,"Veronese, Paolo",,picture poetry,Private Call.,"Palleecchini, Acropoli, 
1963, p. 293-303, upr. 
in color","b13e9d65-0762-49e2-a065-30b1bc45c41d; 
9bf6a72d-f0ab-4c9c-908f-a838918b4431; 
72b08d1f-5be1-4f47-9919-dbd9439e2a3c;"
72b08d1f-5be1-4f47-9919-dbd9439e2a3c,,,,,"compound_object",,72b08d1f-5be1-4f47-9919-dbd9439e2a3c,/objects/109707_1_45942331.jpg,The Astronomer,"Veronese, Paolo","138.34 X 107.95 cm (54 1/2"" X 43 1/2"")",astronomy,"Sir Stephen Courtauld
Umtali (S.Rhoclasia)","Repr: Aollo IV, no. 23.nov
.1926. opp. p. 185 & p.187","b13e9d65-0762-49e2-a065-30b1bc45c41d; 
9bf6a72d-f0ab-4c9c-908f-a838918b4431; 
6bdaa56d-7a0f-426e-a1cb-167c3a322ab1;"
c41a7752-3d51-49fb-90db-89be20334d7d,,,,,"compound_object",,c41a7752-3d51-49fb-90db-89be20334d7d,/objects/109832_1_45942538.jpg,Shepherd & Nymph,"Bordone, Paris",,picture poetry,"Crespi Call.
Milan","E.Martini, Arte Ilustrata,
July - Dec. 1968 p.26",
ad9d472a-2dfb-468c-b601-e8a73f16f7b8,,,,,"compound_object",,ad9d472a-2dfb-468c-b601-e8a73f16f7b8,/objects/109881_1_45942656.jpg,Rest on Flight,"Bordone, Paris","48.7 x 68.8 cm (19 3/16"" x 27 1/16"")",pastoral,"Count Adam Potocki, Cracow","Canova, p. 105 fig. 109 as ca 1550","ad9d472a-2dfb-468c-b601-e8a73f16f7b8
7ed2d234-b3fe-4342-bef5-fbc2a6ae94ba
36aed12c-4d16-4ec6-a6b5-ddef58290da3
f145178d-97ce-40db-8016-b6a7eaa0bd6b
c431edd7-9e08-4d3d-b3de-9719ea231c59"
7ed2d234-b3fe-4342-bef5-fbc2a6ae94ba,,,,,"compound_object",,7ed2d234-b3fe-4342-bef5-fbc2a6ae94ba,/objects/109897_1_45942662.jpg,Holy Family & Infant St John,"Bordone, Paris","100 x 137 cm (39 3/4"" x 54 3/4"")",saints; infants; pastoral,"Lord Ranelagh, 1829
Stirling Coll., Keir
Stirling Sale, Sotheby, July 3, 1963 lot 44
Christie Sale, Dec. 10, 1982 lot 60
Casa Venier, Venice
Sir Phillip Stephens
Christie Sale, May 17, 1810 lot 77","G. Anova, p. 81","ad9d472a-2dfb-468c-b601-e8a73f16f7b8
7ed2d234-b3fe-4342-bef5-fbc2a6ae94ba
36aed12c-4d16-4ec6-a6b5-ddef58290da3
f145178d-97ce-40db-8016-b6a7eaa0bd6b
c431edd7-9e08-4d3d-b3de-9719ea231c59"
36aed12c-4d16-4ec6-a6b5-ddef58290da3,,,,,"compound_object",,36aed12c-4d16-4ec6-a6b5-ddef58290da3,/objects/110164_1_45936377.jpg,Madonna with Infant John,"Bassono, Jacopo","77 x 88 cm (29 1/2"" x 33 1/2"")",saints; infants; mothers,"Sotheby Sale, March 27, 1968 lot 27
Edemoridge (Kent), Archibald Werner
The New Gallery, 1894-5
Agnew’s, June 1953",Venice 1857 n. 52,"ad9d472a-2dfb-468c-b601-e8a73f16f7b8
7ed2d234-b3fe-4342-bef5-fbc2a6ae94ba
36aed12c-4d16-4ec6-a6b5-ddef58290da3
f145178d-97ce-40db-8016-b6a7eaa0bd6b
c431edd7-9e08-4d3d-b3de-9719ea231c59"
f145178d-97ce-40db-8016-b6a7eaa0bd6b,,,,,"compound_object",,f145178d-97ce-40db-8016-b6a7eaa0bd6b,/objects/110165_1_45936379.jpg,Mother with Infants,"Bassono, Jacopo","77 x 88 cm (29"" x 33 1/4"")",infants; mothers,"Lord Carlisle, Castle Howard
Hon. Geoffrey W. A. Howard, 1944
Edenbridge (Kent), Archibald Werner
Sotheby’s Sale, March 27 1968 lot 27",Venice 1957 n.52,"ad9d472a-2dfb-468c-b601-e8a73f16f7b8
7ed2d234-b3fe-4342-bef5-fbc2a6ae94ba
36aed12c-4d16-4ec6-a6b5-ddef58290da3
f145178d-97ce-40db-8016-b6a7eaa0bd6b
c431edd7-9e08-4d3d-b3de-9719ea231c59"
c431edd7-9e08-4d3d-b3de-9719ea231c59,,,,,"compound_object",,c431edd7-9e08-4d3d-b3de-9719ea231c59,/objects/110168_1_45936387.jpg,Mother with Infants and Lamb,"Bassono, Jacopo",,infants; mothers; lambs,"Canena, Milano (1954) already sold
Cp. with München altarpiece",,"ad9d472a-2dfb-468c-b601-e8a73f16f7b8
7ed2d234-b3fe-4342-bef5-fbc2a6ae94ba
36aed12c-4d16-4ec6-a6b5-ddef58290da3
f145178d-97ce-40db-8016-b6a7eaa0bd6b
c431edd7-9e08-4d3d-b3de-9719ea231c59"
66868d03-8435-42bd-b656-606b4e5ea20d,,,,,"compound_object",,66868d03-8435-42bd-b656-606b4e5ea20d,/objects/109833_1_45942540.jpg,Courtesan,"Bordone, Paris","106.8 x 82.3 cm (45"" x 32 3/8"")",courtesans; women,"O.V. Watney, Cornbury Park
Christie Sale, June 23 1967
J. Paul Getty, Sutton Place, Guildford, Surrey
J. Paul Getty Museum, Malibu, 1978
Christie Sale, New York, May 21, 1992 est. 37","P. Bordone, p. 95",
13bbb793-531f-40a7-8957-ffb8d6ad25ec,,,,,"compound_object",,13bbb793-531f-40a7-8957-ffb8d6ad25ec,/objects/109842_1_45942556.jpg,3/4 Length Portrait of Fair Haired Woman Holding Elaborate Mirror,"Bordone, Paris","34 1/2"" 28 1/2""",women; mirrors,"Burlington House, 1873, N. 134
Burlington House, 1904, N. 73
24 July, 1945.
Christie Sale, founder
Bought by Koester [?] 651",,
771a2c57-6b80-434c-9291-85efa0693634,,,,,"compound_object",,771a2c57-6b80-434c-9291-85efa0693634,/objects/109880_1_45942626.jpg,Rest in Flight,"Bordone, Paris","151 x 235 cm (61"" x 92 1/2"")",women; infants; saints,"James Cozemore Sale
Christie's, May 18, 1833 lot 105
Spencer-Churchill, Northside Park
Christie Sale, May 28, 1965 lot 27
March 14, 1975, lot 110","G. Canora, p. 13-14, 109 
[?] 1527-30
repr. Antologia di Belle Arti, n. 3 Sept, 1977 (advs.)",
6e3a226b-5b2c-4ded-8857-4eddf74467cb,,,,,"compound_object",,6e3a226b-5b2c-4ded-8857-4eddf74467cb,/objects/110186_1_45936413.jpg,Rest in Flight (Variant of the Ambrosiana),"Bassono, Jacopo","120 x 155 cm (44 1/4"" x 61"")",women; infants; saints,"Acquired in Florence c. 1871 by Sir John Leslie
Desmond Leslie; Castle Leslie co. Monaghan; Eire
Sotheby Sale, Dec. 12; 1973 lot 84",,
c65888f3-5754-4500-aefe-4c394f63af46,,,,,compound_object,,c65888f3-5754-4500-aefe-4c394f63af46,/objects/110226_1_45936475.jpg,Portrait of Old Woman,"Bassono, Jacopo","118 x 98.5 cm (46 1/2"" x 38 3/4"")",women,"Watney Call, Cornbury Park
Christie Sale, June 23, 1967 lot 37
July 11, 1975 lot 182
Sotheby Sale, New York, June 11, 1981 lot 122",,
